ano;data;balanco;tipo;energia(mwh);Ano;Mês;Horas;energia(mwmed)
2020;01/01/2020;OFERTA;Hidráulica;3,023,860;2020;1;744;4,064
2020;01/01/2020;OFERTA;Importacion;26,786;2020;1;744;36
2020;01/01/2020;OFERTA;Nuclear;791,101;2020;1;744;1,063
2020;01/01/2020;OFERTA;Renovable;957,836;2020;1;744;1,287
2020;01/01/2020;OFERTA;Térmica;7,659,865;2020;1;744;10,296
2020;01/02/2020;OFERTA;Hidráulica;2,524,293;2020;2;696;3,627
2020;01/02/2020;OFERTA;Importacion;37,661;2020;2;696;54
2020;01/02/2020;OFERTA;Nuclear;804,840;2020;2;696;1,156
2020;01/02/2020;OFERTA;Renovable;898,157;2020;2;696;1,290
2020;01/02/2020;OFERTA;Térmica;6,981,253;2020;2;696;10,031
2020;01/03/2020;OFERTA;Hidráulica;2,202,875;2020;3;744;2,961
2020;01/03/2020;OFERTA;Importacion;26,225;2020;3;744;35
2020;01/03/2020;OFERTA;Nuclear;927,599;2020;3;744;1,247
2020;01/03/2020;OFERTA;Renovable;912,767;2020;3;744;1,227
2020;01/03/2020;OFERTA;Térmica;7,663,621;2020;3;744;10,301
2020;01/04/2020;OFERTA;Hidráulica;1,666,023;2020;4;720;2,314
2020;01/04/2020;OFERTA;Importacion;91,768;2020;4;720;127
2020;01/04/2020;OFERTA;Nuclear;975,363;2020;4;720;1,355
2020;01/04/2020;OFERTA;Renovable;837,542;2020;4;720;1,163
2020;01/04/2020;OFERTA;Térmica;5,510,257;2020;4;720;7,653
2020;01/05/2020;OFERTA;Hidráulica;2,093,034;2020;5;744;2,813
2020;01/05/2020;OFERTA;Importacion;85,253;2020;5;744;115
2020;01/05/2020;OFERTA;Nuclear;1,013,772;2020;5;744;1,363
2020;01/05/2020;OFERTA;Renovable;927,073;2020;5;744;1,246
2020;01/05/2020;OFERTA;Térmica;6,045,676;2020;5;744;8,126
2020;01/06/2020;OFERTA;Hidráulica;2,692,207;2020;6;720;3,739
2020;01/06/2020;OFERTA;Importacion;113,549;2020;6;720;158
2020;01/06/2020;OFERTA;Nuclear;926,716;2020;6;720;1,287
2020;01/06/2020;OFERTA;Renovable;915,679;2020;6;720;1,272
2020;01/06/2020;OFERTA;Térmica;6,574,322;2020;6;720;9,131
2020;01/07/2020;OFERTA;Hidráulica;3,546,740;2020;7;744;4,767
2020;01/07/2020;OFERTA;Importacion;475,795;2020;7;744;640
